S,n_workers,naive_max_wait,naive_partition_time,exact_max_wait,exact_partition_time
64,10,1.216121693704162,6.604194641113281e-05,1.034982909884425,0.11210489273071289
64,20,2.7844861627301745,0.00010085105895996094,1.0811405602713116,0.3195610046386719
64,50,3.619148665679009,0.0001270771026611328,1.138835291537105,4.803512096405029
64,100,6.284697241358742,0.0001552104949951172,1.537832963192619,10.43591594696045
128,10,2.320550994203467,0.0001220703125,1.0355337426584796,0.08244204521179199
128,20,1.0389207261999216,0.00016307830810546875,1.0389207261999216,0.3717470169067383
128,50,2.851890589119601,0.00014281272888183594,1.3058963943407464,3.669347047805786
128,100,2.3036206733936977,0.00016164779663085938,1.0570479381140392,89.05529379844666
256,10,1.508238477706584,0.00046896934509277344,0.8692459832873816,0.08212780952453613
256,20,1.5687932451359785,0.00010180473327636719,0.9300293513787814,0.336658239364624
256,50,1.224431561538613,0.00012087821960449219,1.224431561538613,5.132105350494385
